id,type,title,status,parent_project,due_date,scheduled_date,notes,date_added,blocked,tags
t1,task,Build out EDBA research plan,next,p1,,,,2026-05-15,false,[]
t2,task,Build out Pebble Plan,next,p3,,,,2026-05-18,false,[]
t3,standalone,Spoonfeed subscription,backlog,,,,,2026-03-10,false,[]
t4,standalone,Buy top 5 books,backlog,,,,,2026-04-01,false,[]
t6,standalone,Neonatal Resuscitation,backlog,,,,,2026-04-15,false,[]
t7,standalone,Sodastream Bottles,backlog,,,,,2026-03-05,false,[]
t1779508082996,standalone,Bathroom Wire,backlog,,,,,2026-05-23,false,[]
t1779508097669,standalone,Danny Meyer Chat,backlog,,,,,2026-05-23,false,[]
